code_postal;nb_annonces;loyer_moyen;loyer_m2_moyen
60180.0;23;861.13;16.36
60200.0;326;721.73;17.87
60270.0;3;818.33;21.62
60280.0;32;704.91;15.05
60300.0;42;1489.6;17.67
60390.0;1;550.0;19.64
60400.0;14;574.29;13.28
60440.0;3;849.0;14.23
60500.0;24;1040.5;19.96
60510.0;3;1124.33;10.21
60600.0;16;709.75;16.32
60650.0;1;830.0;15.09
60700.0;16;628.62;16.24
60800.0;15;853.53;13.71
60810.0;2;1975.0;16.42
60930.0;1;1150.0;14.74
61000.0;121;490.93;13.25
61100.0;25;505.72;10.27
61110.0;1;630.0;10.5
61200.0;18;491.22;10.72
61260.0;1;535.0;9.55
61300.0;14;505.07;10.42
62000.0;126;630.21;16.44
62100.0;102;553.9;16.18
62110.0;26;595.58;14.18
62160.0;5;652.8;11.08
62200.0;115;611.76;15.11
62210.0;2;790.0;7.9
62232.0;1;390.0;13.45
62260.0;2;572.5;12.37
62300.0;68;534.29;19.99
62400.0;104;576.24;15.86
62460.0;1;720.0;7.2
62470.0;1;518.0;14.0
62490.0;1;690.0;11.13
62500.0;59;567.81;14.12
62530.0;1;553.0;12.29
62600.0;58;596.79;15.69
62700.0;4;529.0;13.41
62800.0;20;648.3;17.47
63000.0;886;611.59;16.9
63100.0;85;642.64;14.75
63110.0;17;661.65;15.45
63119.0;1;1180.0;10.63
63170.0;25;529.04;14.94
63200.0;50;627.22;12.75
63300.0;19;496.84;10.66
63400.0;129;713.79;16.0
63460.0;1;749.0;7.72
63500.0;73;600.81;11.01
63800.0;3;661.67;11.59
64000.0;497;611.02;15.56
64100.0;75;839.76;18.07
64121.0;2;1175.0;10.38
64122.0;3;655.67;21.6
64140.0;53;764.02;13.66
64200.0;50;1027.32;24.18
64240.0;1;568.0;15.78
64300.0;5;512.4;11.58
64400.0;9;675.0;12.78
64440.0;2;575.0;8.71
64500.0;10;1400.5;21.68
64530.0;1;730.0;9.36
64600.0;41;1101.73;20.8
64700.0;9;919.67;17.66
65000.0;225;541.56;14.01
65100.0;32;462.66;15.89
66000.0;417;611.59;14.48
66100.0;71;550.39;14.54
66130.0;9;754.56;12.41
66140.0;20;652.0;17.1
66200.0;9;728.44;13.24
66240.0;5;923.0;13.14
66250.0;4;648.75;14.69
66280.0;5;728.0;11.12
66350.0;1;700.0;10.94
66380.0;1;1100.0;14.67
66420.0;5;520.0;23.25
66440.0;1;594.0;13.5
66450.0;6;637.17;13.35
66500.0;13;645.46;11.1
66540.0;1;640.0;10.67
66600.0;12;769.75;12.75
66690.0;1;497.0;9.94
66700.0;6;646.67;17.09
66750.0;2;1762.5;30.45
67000.0;607;904.63;24.18
67100.0;116;764.03;23.0
67120.0;11;786.82;12.69
67150.0;11;862.55;21.24
67160.0;7;809.71;8.82
67170.0;4;814.0;14.0
67200.0;78;785.71;20.31
67201.0;1;650.0;14.13
67210.0;50;853.82;14.72
67240.0;9;873.11;11.21
67300.0;73;758.19;19.06
67320.0;1;800.0;7.27
67380.0;37;944.57;15.57
67400.0;83;788.43;21.01
67450.0;1;895.0;12.09
67460.0;4;882.25;15.85
67500.0;47;817.4;14.06
67540.0;7;854.29;13.78
67600.0;30;698.6;15.63
67610.0;1;1360.0;14.62
67700.0;15;726.13;11.95
67720.0;2;945.0;11.92
67800.0;66;843.68;16.68
68000.0;232;768.89;14.41
68040.0;1;740.0;13.45
68100.0;353;659.87;15.09
68110.0;4;952.75;13.38
68120.0;4;663.5;12.41
68124.0;1;770.0;11.0
68125.0;1;995.0;13.63
68170.0;4;978.75;12.66
68180.0;2;632.5;17.77
68200.0;119;605.61;14.24
68220.0;3;2111.67;16.04
68230.0;1;905.0;12.75
68250.0;3;808.33;14.12
68260.0;1;940.0;11.75
68270.0;1;703.0;10.82
68280.0;2;625.0;28.0
68290.0;1;800.0;10.96
68300.0;69;945.86;17.3
68400.0;15;1304.93;11.63
68420.0;1;1076.0;7.58
68460.0;1;804.0;11.49
68500.0;2;862.5;12.35
68520.0;1;550.0;17.74
68530.0;1;980.0;8.75
68540.0;1;1250.0;12.25
68570.0;1;979.0;9.79
68630.0;1;750.0;8.06
68700.0;2;815.0;14.3
68800.0;2;647.5;10.33
68920.0;1;790.0;15.8
69001.0;278;1171.36;24.54
69002.0;328;1337.91;23.97
69003.0;524;924.79;22.83
69004.0;207;1149.47;22.43
69005.0;229;1090.77;22.23
69006.0;389;1364.18;24.17
69007.0;451;890.82;24.8
69008.0;455;852.88;20.23
69009.0;268;841.25;19.22
69100.0;703;827.5;19.98
69110.0;58;1355.81;19.6
69120.0;65;800.35;20.27
69130.0;98;1084.57;21.48
69140.0;31;1480.58;15.1
69150.0;48;991.52;16.52
69160.0;72;1145.97;21.35
69170.0;24;567.38;11.39
69190.0;6;708.83;23.37
69200.0;137;716.22;18.99
69220.0;14;710.14;9.91
69230.0;35;1229.77;19.63
69240.0;7;402.86;7.92
69250.0;15;713.13;14.77
69259.0;2;772.5;19.92
69260.0;9;1623.33;21.42
69270.0;8;894.75;14.25
69280.0;1;1200.0;26.67
69290.0;19;1090.05;16.05
69300.0;167;1040.71;21.66
69310.0;2;531.0;14.91
69330.0;37;1024.11;17.47
69340.0;10;1127.1;17.66
69350.0;12;891.5;19.85
69390.0;1;1390.0;11.98
69400.0;154;752.23;14.01
69410.0;3;1236.67;15.0
69500.0;158;773.19;20.49
69530.0;7;1124.43;13.42
69600.0;129;760.74;22.15
69700.0;7;728.14;14.99
69800.0;65;874.0;23.65
70000.0;68;523.87;11.07
70200.0;2;950.0;13.95
70300.0;7;585.14;9.65
70400.0;1;1250.0;11.26
71000.0;252;567.19;13.39
71100.0;107;623.33;14.22
71150.0;7;629.86;8.94
71160.0;2;537.5;7.92
71200.0;192;488.7;10.92
71260.0;1;1480.0;10.21
71270.0;2;550.0;7.3
71300.0;19;559.79;10.71
71330.0;1;480.0;9.6
71400.0;4;510.0;11.36
71500.0;3;609.0;8.29
71600.0;1;708.0;6.0
71710.0;1;325.0;7.93
71760.0;1;447.0;6.77
71850.0;6;539.5;15.51
71870.0;1;481.0;12.66
72000.0;505;624.65;15.87
72100.0;74;609.01;15.43
72110.0;1;720.0;5.54
72200.0;7;540.71;15.36
72300.0;19;529.47;11.23
72400.0;2;517.5;11.39
73000.0;267;685.61;20.65
73100.0;114;806.24;22.05
73110.0;3;811.67;9.5
73200.0;54;753.89;13.43
73290.0;16;930.12;16.94
73370.0;15;651.53;24.51
74000.0;226;1095.46;24.42
74100.0;281;1302.56;25.57
74130.0;8;888.25;17.0
74150.0;11;813.45;16.74
74160.0;69;1533.86;27.09
74200.0;93;1070.62;21.55
